,Score,Parameters
0,7.400000000000006,"{'boosting': 'gbdt', 'feature_fraction': 0.995585455560128, 'learning_rate': 0.03, 'max_depth': 6, 'metric': 'multi_error', 'min_child_samples': 60, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 90, 'objective': 'multiclass', 'reg_alpha': 0.31391938445632606, 'reg_lambda': 0.30353838115715387, 'seed': 80, 'subsample': 0.8648557252063105, 'verbose': -1}"
0,4.599999999999994,"{'boosting': 'gbdt', 'feature_fraction': 0.7892729787367505, 'learning_rate': 0.03, 'max_depth': 18, 'metric': 'multi_error', 'min_child_samples': 50, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 80, 'objective': 'multiclass', 'reg_alpha': 0.8109496644959999, 'reg_lambda': 0.7552011257156728, 'seed': 80, 'subsample': 0.6224223451389893, 'verbose': -1}"
0,7.699999999999989,"{'boosting': 'gbdt', 'feature_fraction': 0.5118831456210009, 'learning_rate': 0.03, 'max_depth': 12, 'metric': 'multi_error', 'min_child_samples': 50, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 20, 'objective': 'multiclass', 'reg_alpha': 0.45575342513031025, 'reg_lambda': 0.06344724724198758, 'seed': 80, 'subsample': 0.8881139401804208, 'verbose': -1}"
0,-13.400000000000006,"{'boosting': 'gbdt', 'feature_fraction': 0.6314467872467636, 'learning_rate': 0.03, 'max_depth': 11, 'metric': 'multi_error', 'min_child_samples': 20, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 20, 'objective': 'multiclass', 'reg_alpha': 0.6645132051861178, 'reg_lambda': 0.7054843642482597, 'seed': 80, 'subsample': 0.8876874057946146, 'verbose': -1}"
0,5.200000000000003,"{'boosting': 'gbdt', 'feature_fraction': 0.9262326643474768, 'learning_rate': 0.03, 'max_depth': 17, 'metric': 'multi_error', 'min_child_samples': 10, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 90, 'objective': 'multiclass', 'reg_alpha': 0.8656849333818912, 'reg_lambda': 0.4213107822053801, 'seed': 80, 'subsample': 0.5812461649785678, 'verbose': -1}"
0,-1.4999999999999858,"{'boosting': 'gbdt', 'feature_fraction': 0.7116462477992538, 'learning_rate': 0.03, 'max_depth': 7, 'metric': 'multi_error', 'min_child_samples': 50, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 60, 'objective': 'multiclass', 'reg_alpha': 0.015395144479331324, 'reg_lambda': 0.8376009758508918, 'seed': 80, 'subsample': 0.7235247874100974, 'verbose': -1}"
0,-15.099999999999994,"{'boosting': 'gbdt', 'feature_fraction': 0.596646451354579, 'learning_rate': 0.03, 'max_depth': 9, 'metric': 'multi_error', 'min_child_samples': 90, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 50, 'objective': 'multiclass', 'reg_alpha': 0.3172117727182599, 'reg_lambda': 0.6143151418519011, 'seed': 80, 'subsample': 0.8255821260190304, 'verbose': -1}"
0,-27.399999999999977,"{'boosting': 'gbdt', 'feature_fraction': 0.6042026192575536, 'learning_rate': 0.03, 'max_depth': 9, 'metric': 'multi_error', 'min_child_samples': 90, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 50, 'objective': 'multiclass', 'reg_alpha': 0.31186552003189416, 'reg_lambda': 0.6761943121545444, 'seed': 80, 'subsample': 0.8770233558607736, 'verbose': -1}"
0,-1.59999999999998,"{'boosting': 'gbdt', 'feature_fraction': 0.5903884539108728, 'learning_rate': 0.03, 'max_depth': 9, 'metric': 'multi_error', 'min_child_samples': 90, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 50, 'objective': 'multiclass', 'reg_alpha': 0.32331519416680615, 'reg_lambda': 0.3998447459282791, 'seed': 80, 'subsample': 0.8391275225843989, 'verbose': -1}"
0,9.799999999999997,"{'boosting': 'gbdt', 'feature_fraction': 0.5025806425094883, 'learning_rate': 0.03, 'max_depth': 9, 'metric': 'multi_error', 'min_child_samples': 90, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 50, 'objective': 'multiclass', 'reg_alpha': 0.2240210430713782, 'reg_lambda': 0.6858554768064737, 'seed': 80, 'subsample': 0.9193842967620518, 'verbose': -1}"
0,-12.799999999999997,"{'boosting': 'gbdt', 'feature_fraction': 0.7346821111038513, 'learning_rate': 0.03, 'max_depth': 22, 'metric': 'multi_error', 'min_child_samples': 90, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 50, 'objective': 'multiclass', 'reg_alpha': 0.348651832649507, 'reg_lambda': 0.6417971681842811, 'seed': 80, 'subsample': 0.8276999330049234, 'verbose': -1}"
0,-20.69999999999999,"{'boosting': 'gbdt', 'feature_fraction': 0.600250679077505, 'learning_rate': 0.03, 'max_depth': 15, 'metric': 'multi_error', 'min_child_samples': 90, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 50, 'objective': 'multiclass', 'reg_alpha': 0.17506303456182215, 'reg_lambda': 0.8293407568270474, 'seed': 80, 'subsample': 0.9321204619220919, 'verbose': -1}"
0,4.400000000000006,"{'boosting': 'gbdt', 'feature_fraction': 0.5524094263794551, 'learning_rate': 0.03, 'max_depth': 15, 'metric': 'multi_error', 'min_child_samples': 90, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 80, 'objective': 'multiclass', 'reg_alpha': 0.12341888204741075, 'reg_lambda': 0.8438017184683582, 'seed': 80, 'subsample': 0.9374714554762527, 'verbose': -1}"
0,13.499999999999986,"{'boosting': 'gbdt', 'feature_fraction': 0.7711275903797956, 'learning_rate': 0.03, 'max_depth': 20, 'metric': 'multi_error', 'min_child_samples': 70, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 70, 'objective': 'multiclass', 'reg_alpha': 0.18465492369746947, 'reg_lambda': 0.8135819608691979, 'seed': 80, 'subsample': 0.9311383940526592, 'verbose': -1}"
0,-8.399999999999991,"{'boosting': 'gbdt', 'feature_fraction': 0.6562560949810741, 'learning_rate': 0.03, 'max_depth': 15, 'metric': 'multi_error', 'min_child_samples': 80, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 40, 'objective': 'multiclass', 'reg_alpha': 0.0046842437093799205, 'reg_lambda': 0.4417572628779356, 'seed': 80, 'subsample': 0.9983614252066839, 'verbose': -1}"
0,5.0,"{'boosting': 'gbdt', 'feature_fraction': 0.5013304169787899, 'learning_rate': 0.03, 'max_depth': 14, 'metric': 'multi_error', 'min_child_samples': 60, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 50, 'objective': 'multiclass', 'reg_alpha': 0.09155131816728812, 'reg_lambda': 0.9134820279426143, 'seed': 80, 'subsample': 0.9456438805076061, 'verbose': -1}"
0,9.299999999999997,"{'boosting': 'gbdt', 'feature_fraction': 0.5844474441753398, 'learning_rate': 0.03, 'max_depth': 15, 'metric': 'multi_error', 'min_child_samples': 40, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 50, 'objective': 'multiclass', 'reg_alpha': 0.5006610066776165, 'reg_lambda': 0.7957633997576359, 'seed': 80, 'subsample': 0.8930196851293075, 'verbose': -1}"
0,-10.699999999999989,"{'boosting': 'gbdt', 'feature_fraction': 0.7414684762707583, 'learning_rate': 0.03, 'max_depth': 15, 'metric': 'multi_error', 'min_child_samples': 90, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 50, 'objective': 'multiclass', 'reg_alpha': 0.247115440852963, 'reg_lambda': 0.9902698716506413, 'seed': 80, 'subsample': 0.8563480106799997, 'verbose': -1}"
0,-2.799999999999997,"{'boosting': 'gbdt', 'feature_fraction': 0.8381854742828717, 'learning_rate': 0.03, 'max_depth': 12, 'metric': 'multi_error', 'min_child_samples': 30, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 60, 'objective': 'multiclass', 'reg_alpha': 0.41661787669813566, 'reg_lambda': 0.8923513633382834, 'seed': 80, 'subsample': 0.8001680187911329, 'verbose': -1}"
0,5.699999999999989,"{'boosting': 'gbdt', 'feature_fraction': 0.5298440940039546, 'learning_rate': 0.03, 'max_depth': 7, 'metric': 'multi_error', 'min_child_samples': 90, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 40, 'objective': 'multiclass', 'reg_alpha': 0.17706388757426805, 'reg_lambda': 0.663724465204538, 'seed': 80, 'subsample': 0.9756264776892118, 'verbose': -1}"
